order_id,account_id,rep_id,order_date,product_line,quantity,amount,status
O_A008_4,A008,R100,2026-06-22,營養補充品,10,14000,completed
O_A008_5,A008,R100,2026-06-04,個人護理,10,14000,completed
O_A008_6,A008,R100,2026-05-17,OTC,10,14000,completed
O_A009_1,A009,R100,2026-08-15,營養補充品,10,14000,completed
O_A009_2,A009,R100,2026-07-28,個人護理,10,14000,completed
O_A009_3,A009,R100,2026-07-10,OTC,10,14000,completed
O_A009_4,A009,R100,2026-06-22,營養補充品,10,14000,completed
O_A009_5,A009,R100,2026-06-04,個人護理,10,14000,completed
O_A009_6,A009,R100,2026-05-17,OTC,10,14000,completed
O_A010_1,A010,R100,2026-08-15,營養補充品,10,14000,completed
O_A010_2,A010,R100,2026-07-28,個人護理,10,14000,completed
O_A010_3,A010,R100,2026-07-10,OTC,10,14000,completed
O_A010_4,A010,R100,2026-06-22,營養補充品,10,14000,completed
O_A010_5,A010,R100,2026-06-04,個人護理,10,14000,completed
O_A010_6,A010,R100,2026-05-17,OTC,10,14000,completed
O_R101_A001_0,R101_A001,R101,2026-04-27,個人護理,4,34296.833247436836,completed
O_R101_A001_1,R101_A001,R101,2026-06-26,營養補充品,16,19174.26488702593,completed
O_R101_A001_2,R101_A001,R101,2026-03-08,OTC,7,10751.584442716534,completed
O_R101_A001_3,R101_A001,R101,2026-04-18,醫療器材,6,6250.317171534188,completed
O_R101_A001_4,R101_A001,R101,2026-03-27,個人護理,16,29975.622873295393,completed
O_R101_A001_5,R101_A001,R101,2026-04-21,OTC,16,21603.13636830356,completed
O_R101_A001_6,R101_A001,R101,2026-05-21,營養補充品,3,9894.022500223096,completed
O_R101_A002_0,R101_A002,R101,2026-05-10,營養補充品,4,16334.303334128814,completed
O_R101_A002_1,R101_A002,R101,2026-05-11,個人護理,3,20848.391233900322,completed
O_R101_A002_2,R101_A002,R101,2026-02-20,OTC,7,35015.70449111765,completed
O_R101_A002_3,R101_A002,R101,2026-06-08,處方藥,6,7982.293217428245,completed
O_R101_A002_4,R101_A002,R101,2026-03-16,OTC,18,28505.161500714432,completed
O_R101_A002_5,R101_A002,R101,2026-06-30,處方藥,12,32652.539109618057,completed
O_R101_A003_0,R101_A003,R101,2026-08-07,個人護理,15,21703.82582854717,completed
O_R101_A003_1,R101_A003,R101,2026-04-11,處方藥,18,11178.611492247726,completed
O_R101_A003_2,R101_A003,R101,2026-05-22,營養補充品,14,21169.313369517044,completed
O_R101_A004_0,R101_A004,R101,2026-05-23,個人護理,10,38951.99682982261,completed
O_R101_A004_1,R101_A004,R101,2026-07-05,OTC,16,30374.26643140585,completed
O_R101_A004_2,R101_A004,R101,2026-03-28,營養補充品,15,9277.292713218976,completed
O_R101_A004_3,R101_A004,R101,2026-07-04,營養補充品,18,21496.393854342776,completed
O_R101_A004_4,R101_A004,R101,2026-04-13,OTC,15,25693.465344024462,completed
O_R101_A004_5,R101_A004,R101,2026-06-28,營養補充品,6,35124.88565914077,completed
O_R101_A004_6,R101_A004,R101,2026-08-21,個人護理,11,20691.163352353527,completed
O_R101_A005_0,R101_A005,R101,2026-03-29,處方藥,6,17215.2812193147,completed
O_R101_A005_1,R101_A005,R101,2026-05-23,個人護理,5,9515.700902566756,completed
O_R101_A005_2,R101_A005,R101,2026-07-22,營養補充品,16,37454.084024811105,completed
O_R101_A005_3,R101_A005,R101,2026-07-23,醫療器材,12,17793.57335418446,completed
O_R101_A005_4,R101_A005,R101,2026-05-01,營養補充品,8,38591.013250209144,completed
O_R101_A006_0,R101_A006,R101,2026-05-27,醫療器材,7,17273.345909646774,completed
O_R101_A006_1,R101_A006,R101,2026-05-13,營養補充品,17,6734.810715931235,completed
O_R101_A006_2,R101_A006,R101,2026-06-03,OTC,17,36469.466242552066,completed
O_R101_A006_3,R101_A006,R101,2026-05-14,處方藥,8,9691.57519860508,completed
O_R101_A006_4,R101_A006,R101,2026-05-12,個人護理,14,15561.948650526283,completed
O_R101_A007_0,R101_A007,R101,2026-07-12,OTC,3,24864.983959310433,completed
O_R101_A007_1,R101_A007,R101,2026-05-13,OTC,8,33480.55005018626,completed
O_R101_A007_2,R101_A007,R101,2026-03-21,醫療器材,8,38398.579432371334,completed
O_R101_A007_3,R101_A007,R101,2026-04-27,OTC,13,14702.813079298494,completed
O_R101_A007_4,R101_A007,R101,2026-05-19,醫療器材,18,11596.665797788617,completed
O_R101_A007_5,R101_A007,R101,2026-05-16,處方藥,8,39740.76917789846,completed
O_R101_A007_6,R101_A007,R101,2026-06-03,處方藥,18,31452.672661536275,completed
O_R101_A008_0,R101_A008,R101,2026-04-21,營養補充品,9,9211.866714091519,completed
O_R101_A008_1,R101_A008,R101,2026-04-07,個人護理,9,37851.647118148496,completed
O_R101_A008_2,R101_A008,R101,2026-07-06,醫療器材,7,10173.769701990524,completed
O_R101_A008_3,R101_A008,R101,2026-08-12,醫療器材,18,12095.12247736313,completed
O_R101_A009_0,R101_A009,R101,2026-05-22,營養補充品,10,6473.833782078853,completed
O_R101_A009_1,R101_A009,R101,2026-07-28,處方藥,6,10481.955404741715,completed
O_R101_A009_2,R101_A009,R101,2026-08-21,個人護理,19,23215.21767510152,completed
O_R101_A009_3,R101_A009,R101,2026-08-01,醫療器材,14,25757.96471351068,completed
O_R101_A009_4,R101_A009,R101,2026-06-07,處方藥,17,30323.842406937256,completed
O_R101_A009_5,R101_A009,R101,2026-03-26,處方藥,15,10455.963552948651,completed
O_R101_A009_6,R101_A009,R101,2026-06-04,處方藥,12,19517.658590047984,completed
O_R102_A001_0,R102_A001,R102,2026-05-31,營養補充品,7,14046.52034191776,completed
O_R102_A001_1,R102_A001,R102,2026-02-18,個人護理,17,9579.454715040249,completed
O_R102_A001_2,R102_A001,R102,2026-03-23,醫療器材,4,26210.74456771936,completed
O_R102_A001_3,R102_A001,R102,2026-06-18,處方藥,6,16551.378913418528,completed
O_R102_A002_0,R102_A002,R102,2026-08-14,處方藥,5,7814.985709323963,completed
O_R102_A002_1,R102_A002,R102,2026-06-04,營養補充品,11,19383.43553228896,completed
O_R102_A002_2,R102_A002,R102,2026-04-18,醫療器材,8,23153.892058755824,completed
O_R102_A002_3,R102_A002,R102,2026-04-07,醫療器材,16,7478.152108434926,completed
O_R102_A002_4,R102_A002,R102,2026-03-17,營養補充品,6,14049.325617549464,completed
O_R102_A002_5,R102_A002,R102,2026-07-12,OTC,13,20152.922473908537,completed
O_R102_A003_0,R102_A003,R102,2026-08-06,醫療器材,17,36690.20689353898,completed
O_R102_A003_1,R102_A003,R102,2026-07-10,醫療器材,8,32502.236386225184,completed
O_R102_A003_2,R102_A003,R102,2026-03-26,個人護理,13,32485.876055656387,completed
O_R102_A003_3,R102_A003,R102,2026-04-07,處方藥,17,23483.57758647409,completed
O_R102_A003_4,R102_A003,R102,2026-05-15,醫療器材,17,21735.17843017954,completed
O_R102_A003_5,R102_A003,R102,2026-03-29,OTC,14,15059.752795028766,completed
O_R102_A004_0,R102_A004,R102,2026-06-14,處方藥,14,16093.8001354237,completed
O_R102_A004_1,R102_A004,R102,2026-03-28,醫療器材,14,22350.95456220267,completed
O_R102_A004_2,R102_A004,R102,2026-03-04,個人護理,8,24204.782854220106,completed
O_R102_A004_3,R102_A004,R102,2026-02-24,醫療器材,11,33349.322150200634,completed
O_R102_A004_4,R102_A004,R102,2026-04-23,營養補充品,12,27519.199395099105,completed
O_R102_A005_0,R102_A005,R102,2026-05-07,處方藥,11,10671.869621285274,completed
O_R102_A005_1,R102_A005,R102,2026-03-01,醫療器材,19,33230.061986893284,completed
O_R102_A005_2,R102_A005,R102,2026-06-09,營養補充品,10,33033.90452542492,completed
O_R102_A005_3,R102_A005,R102,2026-03-30,醫療器材,19,14615.034030532364,completed
O_R102_A005_4,R102_A005,R102,2026-04-10,營養補充品,3,26949.633800820124,completed
O_R102_A005_5,R102_A005,R102,2026-08-07,處方藥,5,25208.320790063022,completed
O_R102_A006_0,R102_A006,R102,2026-05-23,OTC,13,37662.03201346347,completed
O_R102_A006_1,R102_A006,R102,2026-03-18,處方藥,16,8982.106404966125,completed
O_R102_A006_2,R102_A006,R102,2026-08-02,營養補充品,14,20232.6822268729,completed
O_R102_A006_3,R102_A006,R102,2026-03-03,個人護理,6,17343.683783160097,completed
O_R102_A006_4,R102_A006,R102,2026-04-20,個人護理,18,31926.09300040218,completed
O_R102_A007_0,R102_A007,R102,2026-07-31,個人護理,5,37828.75955250772,completed
O_R102_A007_1,R102_A007,R102,2026-05-12,OTC,16,22298.56518023437,completed
O_R102_A007_2,R102_A007,R102,2026-07-29,OTC,14,30403.84802412388,completed
O_R102_A007_3,R102_A007,R102,2026-02-19,醫療器材,19,10028.271625379406,completed
O_R102_A008_0,R102_A008,R102,2026-08-22,處方藥,10,34063.583380674914,completed
O_R102_A008_1,R102_A008,R102,2026-06-04,OTC,19,21038.68032030837,completed
O_R102_A008_2,R102_A008,R102,2026-05-30,處方藥,8,37227.02444752884,completed
O_R102_A008_3,R102_A008,R102,2026-04-07,個人護理,12,39899.178366477485,completed
O_R102_A008_4,R102_A008,R102,2026-08-04,處方藥,17,15652.886887377324,completed
O_R102_A009_0,R102_A009,R102,2026-08-19,OTC,7,10862.74375566559,completed
O_R102_A009_1,R102_A009,R102,2026-03-16,個人護理,16,36961.699722450096,completed
O_R102_A009_2,R102_A009,R102,2026-07-18,OTC,14,7229.532156819671,completed
O_R102_A009_3,R102_A009,R102,2026-08-23,處方藥,5,26601.456040022742,completed
O_R102_A009_4,R102_A009,R102,2026-08-15,醫療器材,16,14110.795901331208,completed
O_R102_A009_5,R102_A009,R102,2026-07-01,醫療器材,7,33232.771023817,completed
O_R102_A009_6,R102_A009,R102,2026-08-14,醫療器材,18,32251.68556954894,completed
